country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Japan;87,78;87,08;89,30;92,93;83,37;93,28;92,44;87,39;104,57;106,51;98,93;107,37;92,82;105,56;78,17;93,89;92,99;103,58;106,51;101,00;101,59;98,62;98,09;111,55;111,31;97,80;108,96;96,27;94,55;93,89;102,48;103,95;96,54;109,95;114,91;119,99;112,39;123,45;
Jordan;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,03;0,02;0,02;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;0,04;0,04;0,06;0,05;0,06;0,06;0,06;0,07;0,07;0,07;0,07;0,06;0,07;0,06;0,06;0,06;0,05;0,04;
Kenya;1,18;1,51;1,53;1,61;1,63;1,82;1,89;1,97;2,48;2,63;2,71;2,95;2,98;3,18;3,16;3,25;3,44;3,35;3,36;2,53;1,63;2,70;3,40;3,54;3,16;3,31;3,56;3,77;2,95;2,37;3,60;3,64;4,45;4,09;3,41;3,87;3,43;3,30;
Kiribati;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Kuwait;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Laos;0,92;1,09;1,14;1,02;0,94;0,86;0,82;0,53;0,49;0,66;0,82;0,88;0,86;0,87;0,85;1,04;1,19;1,16;1,80;2,32;3,28;3,30;3,21;2,83;3,00;3,51;3,60;3,37;3,72;3,37;8,37;12,84;12,93;15,36;15,12;13,90;17,77;18,47;
Lebanon;0,84;0,84;0,64;0,55;0,58;0,58;0,55;0,60;0,59;0,50;0,30;0,50;0,55;0,71;0,81;0,71;0,79;0,89;0,78;0,33;0,45;0,33;0,67;1,35;1,11;1,04;0,69;0,58;0,37;0,62;0,83;0,80;1,00;1,26;0,19;0,47;0,38;0,35;
Lesotho;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;0,29;0,29;0,31;0,33;0,30;0,46;0,53;0,55;0,58;0,65;0,69;0,49;0,49;0,52;0,52;0,53;0,50;0,50;
Liberia;0,33;0,31;0,33;0,32;0,22;0,26;0,32;0,32;0,32;0,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Libya;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Luxembourg;0,12;0,13;0,12;0,12;0,12;0,10;0,12;0,14;0,14;0,11;0,10;0,12;0,10;0,11;0,16;0,14;0,10;0,13;0,16;0,14;0,18;0,18;0,16;0,14;0,18;0,17;0,20;0,22;0,20;0,18;0,23;0,22;0,25;0,27;0,28;0,29;0,32;0,33;
Macau;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Madagascar;0,15;0,15;0,23;0,25;0,25;0,26;0,27;0,29;0,30;0,31;0,34;0,33;0,34;0,34;0,35;0,37;0,42;0,45;0,50;0,52;0,54;0,53;0,54;0,60;0,63;0,64;0,63;0,71;0,69;0,73;0,70;0,69;0,76;0,81;0,88;0,81;0,94;0,89;
Malawi;0,39;0,38;0,41;0,44;0,46;0,47;0,51;0,56;0,56;0,57;0,70;0,74;0,77;0,77;0,81;0,83;0,85;0,87;1,00;0,96;1,06;1,08;1,14;1,18;1,30;1,35;1,38;1,41;1,57;1,53;1,78;1,84;1,91;1,90;2,00;1,98;2,01;1,87;
Malaysia;1,40;1,58;1,29;1,68;3,40;3,78;4,03;4,86;5,61;5,18;3,95;4,36;4,32;4,82;6,46;6,16;5,13;3,83;4,80;7,45;7,34;6,37;5,25;5,69;5,77;5,14;6,38;6,43;7,39;8,06;7,42;8,61;9,79;11,63;13,96;14,54;20,58;27,15;
Maldives;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Mali;0,08;0,08;0,11;0,12;0,13;0,13;0,16;0,16;0,17;0,17;0,18;0,18;0,21;0,22;0,22;0,22;0,21;0,23;0,23;0,23;0,23;0,23;0,24;0,23;0,25;0,45;0,48;0,47;0,57;0,67;0,74;0,77;0,83;1,00;1,04;1,05;1,14;1,17;
Malta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;
Martinique;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,03;
Mauritania;0,03;0,03;0,04;0,04;0,04;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,04;0,05;0,05;0,05;0,06;0,11;0,12;0,13;0,14;0,17;0,18;0,19;0,24;0,23;
Mauritius;0,08;0,06;0,09;0,04;0,07;0,11;0,11;0,14;0,10;0,15;0,08;0,07;0,11;0,10;0,08;0,13;0,10;0,09;0,10;0,31;0,51;0,52;0,52;0,55;0,57;0,54;0,50;0,52;0,59;0,61;0,65;0,55;0,57;0,59;0,57;0,65;0,62;0,57;
Mexico;16,73;24,36;22,69;20,52;23,36;25,97;19,82;18,24;20,97;24,40;23,24;23,13;28,02;28,31;22,18;30,05;32,84;27,68;26,14;34,07;34,47;30,73;27,18;22,14;27,47;30,46;32,42;29,37;39,49;27,08;37,57;36,66;32,76;29,04;39,98;31,98;31,28;33,90;
Mongolia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,04;0,05;0,05;0,06;0,07;0,06;0,06;0,06;
Montserrat;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Morocco;1,49;1,03;0,58;0,48;0,36;0,47;0,63;0,83;0,93;1,15;1,18;1,23;0,95;0,44;0,83;0,61;1,94;2,06;1,76;0,82;0,71;0,86;0,84;1,44;1,59;0,97;0,99;0,91;0,92;2,54;3,43;1,99;1,62;2,76;1,63;1,88;1,25;1,19;
Mozambique;13,41;3,32;2,96;5,01;0,55;0,15;0,04;0,02;0,05;0,05;0,28;0,32;0,32;0,34;0,36;0,38;0,45;0,97;1,49;7,61;9,56;11,74;12,58;10,80;11,59;13,18;14,61;15,94;15,01;16,83;16,54;16,71;15,06;14,46;16,09;17,10;15,51;13,98;
Myanmar;0,79;0,85;0,92;0,98;1,00;0,99;1,03;1,01;0,93;1,13;1,18;1,23;1,50;1,69;1,60;1,61;1,63;1,67;0,94;1,03;1,87;1,80;2,21;2,23;2,38;2,97;3,29;3,59;4,03;5,21;5,06;7,45;7,69;8,74;8,74;9,31;9,65;12,47;
Nauru;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Nepal;0,18;0,21;0,21;0,31;0,34;0,33;0,43;0,54;0,56;0,54;0,88;0,90;0,83;0,87;0,92;1,15;1,17;1,05;1,12;1,40;1,62;1,83;2,10;2,24;2,38;2,49;2,71;2,76;2,78;3,07;3,17;3,46;3,50;3,47;3,75;3,42;4,20;4,59;
Netherlands;1,00;1,00;0,30;0,20;0,02;0,40;0,50;0,70;0,80;0,94;1,18;1,26;1,27;1,43;1,56;1,69;2,24;2,55;2,79;3,06;3,34;3,67;4,24;3,98;4,73;6,77;6,70;5,62;6,70;7,72;8,71;8,85;9,06;7,77;6,75;6,66;6,71;6,35;
Netherlands Antilles;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
New Caledonia;0,28;0,27;0,41;0,28;0,40;0,48;0,40;0,25;0,53;0,52;0,46;0,34;0,34;0,34;0,38;0,42;0,39;0,36;0,39;0,46;0,44;0,36;0,32;0,32;0,32;0,34;0,29;0,39;0,45;0,40;0,26;0,37;0,40;0,45;0,29;0,34;0,23;0,36;
New Zealand;19,78;19,81;18,45;19,89;20,53;19,88;22,23;22,47;23,55;22,34;23,61;23,42;20,95;23,66;26,11;27,53;26,20;24,08;24,75;23,76;24,78;21,96;25,06;23,78;27,12;23,60;23,89;23,97;22,68;24,58;25,07;25,46;23,28;23,43;24,71;24,91;26,28;25,52;
Nicaragua;0,54;0,52;0,46;0,25;0,23;0,26;0,27;0,40;0,39;0,54;0,40;0,33;0,25;0,48;0,38;0,40;0,44;0,42;0,33;0,42;0,24;0,23;0,40;0,42;0,45;0,63;0,50;0,54;0,87;0,66;0,88;0,81;0,87;0,93;0,88;0,75;0,96;1,13;
Niger;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Nigeria;2,72;2,29;2,39;1,86;2,57;2,98;3,59;3,25;3,97;4,10;4,34;5,87;6,00;5,52;5,51;5,45;5,45;5,54;5,72;6,09;5,70;5,86;8,17;7,39;8,04;7,70;6,21;6,18;5,68;4,50;6,33;5,84;5,62;5,29;5,32;5,68;5,56;5,50;
Niue;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
North Korea;10,49;10,65;10,81;10,97;11,13;12,18;12,87;13,46;14,85;14,85;15,44;14,85;14,06;13,17;13,66;14,06;12,38;10,59;10,10;10,20;10,10;10,49;10,51;11,60;12,38;13,00;12,49;13,15;13,93;12,38;13,27;13,07;13,37;13,76;12,87;9,90;12,67;11,78;
Norway;82,72;91,88;91,51;104,70;104,90;101,47;95,37;102,38;107,97;117,42;120,18;109,27;115,75;118,30;110,70;120,63;103,15;108,94;114,84;120,54;140,69;119,59;128,39;104,85;108,14;134,71;118,62;132,77;138,12;124,31;116,70;120,20;141,66;128,16;135,32;137,17;142,88;141,62;
Oman;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Pakistan;8,63;8,95;9,42;11,25;12,70;12,11;13,66;15,10;16,52;16,80;16,76;18,12;20,90;19,24;22,63;22,97;20,65;21,84;22,23;19,10;18,18;19,84;23,33;27,98;26,76;31,73;32,75;29,80;29,12;29,08;32,75;29,63;31,04;33,28;33,80;36,32;34,35;30,72;
Panama;1,00;1,46;1,22;1,00;1,62;2,01;2,18;2,11;2,31;2,23;2,25;2,06;1,92;2,31;2,40;2,41;2,99;2,90;2,14;3,12;3,41;2,50;3,39;2,82;3,77;3,71;3,62;3,71;3,95;3,88;4,17;4,08;5,36;5,14;5,02;6,23;6,49;7,21;
Papua New Guinea;0,31;0,31;0,30;0,38;0,41;0,42;0,45;0,43;0,44;0,45;0,46;0,46;0,46;0,46;0,46;0,86;0,93;0,70;0,86;0,91;0,93;0,93;0,93;0,93;0,90;0,89;0,87;0,87;0,86;0,86;0,87;0,98;1,00;1,02;1,05;1,04;1,03;0,83;
Paraguay;0,72;0,75;0,68;0,79;0,90;4,07;11,91;18,50;19,90;24,23;27,20;29,37;27,16;31,13;36,05;41,70;44,86;50,34;50,36;51,44;52,96;44,86;47,73;51,25;51,41;50,65;53,25;53,19;54,91;54,41;53,52;57,05;59,63;59,90;54,86;55,33;63,29;59,23;
Peru;7,12;8,09;8,59;8,29;8,75;9,59;10,25;10,98;10,49;10,45;10,50;11,51;9,82;11,79;12,75;12,84;13,33;13,22;13,79;14,53;16,16;17,60;18,05;18,55;17,51;18,26;19,88;19,80;19,42;19,88;20,52;22,05;21,81;23,05;23,27;24,38;24,56;29,80;
Philippines;3,49;3,70;3,73;2,94;5,14;5,51;5,98;5,24;6,21;6,42;6,00;5,09;4,21;4,94;5,89;6,17;6,96;5,97;5,03;7,76;7,72;7,03;6,96;7,79;8,51;8,30;9,84;8,48;9,74;9,69;7,75;9,72;10,33;10,13;9,24;8,95;8,76;10,53;
Poland;2,72;2,49;1,90;2,11;1,86;2,34;2,03;1,95;2,05;1,82;1,66;1,85;1,92;1,84;2,07;2,23;2,32;2,54;2,88;2,64;2,64;3,07;3,15;2,40;3,24;3,93;4,25;5,12;5,75;7,58;9,25;9,95;12,14;11,08;12,19;11,83;10,29;9,35;
Portugal;8,18;5,23;7,16;8,28;9,96;11,03;8,94;9,59;12,66;6,35;9,75;9,76;5,48;9,35;11,49;9,25;15,57;14,01;13,88;8,45;12,76;15,49;9,46;17,24;11,58;6,67;12,90;12,14;8,87;10,59;18,90;14,67;8,79;17,00;18,77;12,02;19,00;9,29;
Puerto Rico;0,20;0,12;0,10;0,11;0,14;0,18;0,22;0,26;0,27;0,27;0,14;0,12;0,14;0,12;0,07;0,09;0,14;0,10;0,10;0,16;0,15;0,13;0,11;0,10;0,14;0,14;0,14;0,16;0,16;0,17;0,16;0,15;0,09;0,08;0,08;0,06;0,08;0,06;
Qatar;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,12;0,12;0,12;0,12;0,12;0,12;0,12;
Reunion;0,30;0,37;0,42;0,43;0,40;0,48;0,50;0,52;0,42;0,49;0,54;0,46;0,49;0,49;0,49;0,50;0,50;0,54;0,55;0,55;0,82;0,81;0,81;0,80;0,87;0,84;0,85;0,89;0,89;0,81;0,81;0,68;0,76;0,82;0,69;0,78;0,72;0,77;
Romania;12,51;12,61;11,73;9,93;11,21;11,77;10,69;11,08;13,48;12,50;10,87;14,11;11,64;12,71;12,92;16,53;15,60;17,35;18,70;18,11;14,63;14,77;15,89;13,13;16,35;20,01;18,18;15,84;17,05;15,39;19,80;14,78;12,16;15,06;19,12;16,99;18,38;14,87;
Rwanda;0,11;0,10;0,13;0,15;0,16;0,16;0,15;0,16;0,17;0,17;0,17;0,16;0,17;0,15;0,16;0,16;0,14;0,16;0,16;0,13;0,11;0,09;0,10;0,12;0,08;0,07;0,04;0,04;0,07;0,10;0,11;0,13;0,14;0,15;0,21;0,28;0,28;0,33;
Saint Helena;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Saint Kitts and Nevis;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Saint Lucia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Saint Pierre and Miquelon;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Saint Vincent/Grenadines;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,04;0,04;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,03;0,03;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,02;0,02;0,03;0,03;0,03;
Samoa;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,04;0,04;0,05;0,06;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,06;0,04;0,03;0,03;0,03;0,03;0,03;
Sao Tome and Principe;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,01;0,01;0,01;0,00;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;
Saudi Arabia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Senegal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,04;0,04;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,06;0,26;0,39;0,33;0,32;0,28;0,22;0,27;0,29;0,32;0,33;0,33;0,36;0,38;0,40;0,42;0,40;
Seychelles;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Sierra Leone;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;0,02;0,02;0,02;0,02;0,02;0,00;0,02;0,10;0,09;0,12;0,15;0,12;0,10;0,12;0,13;0,13;0,13;
Singapore;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,49;0,95;0,95;0,99;0,96;0,92;0,95;0,97;1,05;1,06;1,17;1,21;1,25;1,36;1,42;1,49;1,44;1,45;
Solomon Islands;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Somalia;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
South Africa;0,99;1,66;1,02;0,60;0,56;0,62;1,62;1,62;3,16;2,76;1,01;1,98;0,75;0,15;1,07;0,53;1,38;2,24;1,83;0,92;1,65;2,37;2,62;1,04;1,20;1,58;3,14;1,13;1,47;1,67;2,34;2,30;1,45;1,41;1,22;1,05;0,95;1,16;
South Korea;1,54;2,26;1,56;2,27;1,98;3,15;3,08;3,93;1,97;2,93;4,64;3,45;3,07;4,19;2,32;2,98;2,80;2,86;4,30;4,21;4,06;4,22;3,43;5,10;4,66;3,93;3,78;4,17;3,62;3,41;4,74;6,18;5,53;5,99;4,88;5,27;9,13;9,73;
Spain;29,50;22,04;26,45;27,23;31,61;31,48;26,62;27,55;35,40;19,67;25,83;27,68;19,44;24,84;28,72;24,21;40,92;36,52;35,83;25,10;31,37;42,58;25,56;44,16;34,98;21,31;29,07;30,67;27,17;30,40;46,25;35,47;25,88;42,93;44,92;34,19;42,19;25,31;
Sri Lanka;1,46;1,56;1,59;1,20;2,07;2,37;2,62;2,15;2,57;2,77;3,11;3,09;2,87;3,76;4,05;4,41;3,22;3,41;3,88;4,13;3,17;3,08;2,67;3,26;2,93;3,42;3,85;3,91;4,10;3,89;5,61;4,61;3,28;6,88;4,55;5,97;4,25;4,05;
Sudan;0,50;0,74;0,76;0,76;0,75;0,91;0,91;0,92;0,92;0,93;0,95;1,03;1,08;1,08;1,11;0,96;1,06;1,04;1,03;1,20;1,27;1,37;1,39;1,28;1,24;1,39;1,50;1,59;1,60;3,35;6,28;6,52;6,68;8,37;8,94;8,45;8,08;9,37;
Suriname;0,88;0,83;1,05;0,71;0,85;0,96;0,76;0,32;0,49;1,09;1,17;1,39;1,44;1,45;1,46;1,28;1,28;1,29;1,29;1,31;0,71;0,73;0,74;0,75;0,76;0,82;0,86;0,86;0,86;0,86;1,20;1,17;1,11;1,10;1,17;1,11;1,05;1,05;
Swaziland;0,13;0,13;0,09;0,07;0,13;0,19;0,15;0,18;0,19;0,22;0,15;0,20;0,20;0,20;0,20;0,21;0,21;0,21;0,21;0,20;0,36;0,37;0,40;0,31;0,30;0,36;0,35;0,37;0,34;0,37;0,38;0,45;0,45;0,42;0,48;0,42;0,32;0,32;
Sweden;58,87;59,91;55,36;64,20;68,90;71,84;62,07;72,87;71,02;73,11;73,78;64,52;75,66;76,14;60,79;69,85;53,41;71,20;77,29;73,86;82,14;82,29;70,14;57,84;67,52;80,43;70,46;76,15;79,60;77,40;79,68;78,91;91,68;73,45;75,05;86,70;74,72;78,41;
Switzerland;32,68;35,53;36,37;35,47;30,27;32,03;32,98;34,83;35,94;29,98;30,30;32,59;33,30;36,33;39,73;35,91;29,63;35,09;34,64;41,23;38,21;42,73;36,75;36,37;35,40;33,02;32,98;37,20;38,07;37,74;38,13;34,60;40,96;40,94;40,66;40,69;37,27;36,86;
Syria;2,53;2,63;2,93;2,77;3,29;3,31;2,83;2,83;2,79;2,74;2,70;2,66;2,61;2,57;2,53;2,49;2,53;2,57;2,67;2,69;3,23;3,41;2,46;2,76;4,17;4,32;3,94;3,48;2,87;1,88;2,60;3,28;3,24;3,00;2,35;0,44;0,95;0,78;
Taiwan;2,91;4,77;4,76;4,97;4,41;5,94;6,07;5,45;4,63;4,81;6,68;4,27;7,01;4,53;5,56;5,49;5,56;5,92;7,03;6,20;6,22;7,25;5,56;5,91;6,18;6,95;7,15;7,77;7,76;7,12;7,80;7,55;9,09;8,89;8,00;8,26;10,07;8,92;
Tanzania;0,99;1,02;1,03;1,06;1,09;1,11;1,07;1,16;1,23;1,43;1,53;1,71;1,63;1,68;1,48;1,52;1,73;1,44;2,06;2,14;2,12;2,58;2,69;2,52;2,33;1,76;1,42;2,50;2,62;2,61;2,69;2,00;1,77;1,72;2,59;2,11;2,36;2,35;
Thailand;1,26;2,94;3,80;3,62;4,04;3,65;5,50;4,03;3,74;5,52;4,93;4,54;4,20;3,66;4,47;6,93;8,13;7,47;5,44;4,37;6,48;6,73;8,08;8,38;7,26;7,27;9,50;9,82;9,65;10,15;8,87;12,37;13,07;12,40;12,65;12,14;24,97;24,87;
The Bahamas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Togo;0,04;0,04;0,06;0,02;0,04;0,08;0,08;0,08;0,08;0,10;0,10;0,19;0,13;0,23;0,15;0,26;0,19;0,09;0,17;0,20;0,10;0,05;0,09;0,12;0,08;0,08;0,09;0,10;0,09;0,11;0,10;0,11;0,09;0,08;0,12;0,06;0,21;0,21;
Tonga;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Trinidad and Tobago;0,03;0,02;0,02;0,02;0,01;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,01;0,02;0,02;0,03;0,02;0,02;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Tunisia;0,02;0,03;0,04;0,03;0,07;0,11;0,05;0,11;0,05;0,03;0,04;0,10;0,06;0,06;0,04;0,04;0,07;0,07;0,08;0,09;0,06;0,05;0,06;0,16;0,15;0,14;0,09;0,05;0,03;0,08;0,05;0,05;0,11;0,06;0,06;0,07;0,05;0,02;
Turkey;11,29;12,41;13,81;11,13;13,19;11,82;11,64;18,31;28,45;17,61;22,92;22,49;26,35;33,67;30,33;35,41;40,25;39,71;42,05;34,46;30,79;24,00;33,52;35,09;45,73;39,29;43,96;35,71;33,16;35,94;51,77;51,52;57,28;59,12;40,85;67,12;68,35;59,95;
Turks and Caicos Islands;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
